감기_lag1,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
1644.0,0.0111,0.0344,0.33,0.0021,15.0,8.0
2761.0,0.0064,0.0439,0.31,0.0025,13.0,10.0
3009.0,0.0055,0.0443,0.25,0.0021,12.0,8.0
2635.0,0.0067,0.0445,0.2,0.0024,15.0,8.0
3365.0,0.0081,0.0396,0.33,0.0024,32.0,8.0
3895.0,0.0063,0.0435,0.25,0.0018,7.0,2.0
2291.0,0.0103,0.0408,0.38,0.0018,13.0,9.0
2481.0,0.0064,0.0406,0.33,0.0018,14.0,7.0
4691.0,0.0063,0.0422,0.36968151147098516,0.0022,10.0,7.0
4395.0,0.0065,0.0431,0.31,0.0021,12.0,9.0
2804.0,0.004,0.0431,0.28,0.0013,5.0,1.0
3396.0,0.0037,0.0465,0.24,0.0018,10.0,6.0
4043.0,0.0082,0.0402,0.32,0.0022,5.0,1.0
5350.0,0.0089,0.0355,0.35,0.0022,12.0,8.0
3857.0,0.0082,0.0413,0.39,0.002,18.0,7.0
2222.0,0.0055,0.0362,0.26,0.0024,9.0,6.0
3597.0,0.0063,0.0391,0.35,0.0026,15.0,8.0
3255.0,0.0066,0.0355,0.31,0.002,5.0,2.0
3767.0,0.0074,0.0447,0.27,0.0019,14.0,3.0
3893.0,0.0081,0.0405,0.34,0.0018,13.0,8.0
4849.0,0.0061,0.0403,0.26,0.0025,14.0,8.0
7175.0,0.0086,0.0443,0.27,0.0025,12.0,8.0
4721.0,0.0092,0.0428,0.34,0.002,16.0,9.0
127.0,0.0063,0.0357,0.26,0.0021,15.0,14.0
147.0,0.01,0.0438,0.4,0.002,28.0,24.0
293.0,0.0154,0.036,0.34,0.0022,28.0,24.0
453.0,0.0124,0.0427,0.36,0.0025,33.0,29.0
471.0,0.0069,0.0455,0.27,0.0021,32.0,22.0
759.0,0.0087,0.0436,0.18,0.0023,30.0,24.0
630.0,0.01,0.0427,0.34,0.0025,32.0,24.0
600.0,0.0078,0.0428,0.28,0.0019,30.0,26.0
458.0,0.0138,0.0385,0.39,0.0021,30.0,22.0
372.0,0.0079,0.0374,0.37,0.0018,34.0,23.0
983.0,0.0093,0.0373,0.36968151147098516,0.002,25.0,19.0
810.0,0.0111,0.039,0.36,0.0021,32.0,27.0
508.0,0.0078,0.0394,0.25,0.0016,28.0,18.0
731.0,0.0049,0.0453,0.19,0.0022,25.0,17.0
898.0,0.012,0.0404,0.36,0.0029,26.904448539089234,15.19673855865334
1276.0,0.0123,0.0364,0.37,0.0023,31.0,26.0
579.0,0.0128,0.0417,0.42,0.0019,37.0,23.0
262.0,0.0101,0.0342,0.29,0.0025,27.0,20.0
616.0,0.0092,0.0315,0.36,0.0025,32.0,27.0
514.0,0.0141,0.0389,0.36,0.0021,32.0,23.0
478.0,0.0132,0.0401,0.32,0.0019,33.0,15.19673855865334
949.0,0.0152,0.0398,0.42,0.0019,38.0,29.0
1145.0,0.0112,0.0372,0.27,0.0024,27.0,21.0
1268.0,0.0113,0.0422,0.29,0.0026,33.0,24.0
802.0,0.0122,0.0419,0.36,0.0019,36.0,27.0
1968.0,0.0107,0.0336,0.29,0.0021,33.0,27.0
2066.0,0.0261,0.0315,0.52,0.0028,33.0,22.0
3193.0,0.0276,0.0291,0.42,0.0027,30.0,22.0
4904.0,0.0291,0.0309,0.44,0.0032,38.0,26.0
5163.0,0.0253,0.0329,0.35,0.0026,36.0,21.0
4910.0,0.0226,0.0337,0.23,0.0027,34.0,22.0
5749.0,0.0252,0.0318,0.43,0.0031,37.0,22.0
6958.0,0.0202,0.0362,0.36,0.0023,33.0,24.0
4002.0,0.0242,0.032,0.46,0.0025,26.904448539089234,21.0
4436.0,0.0134,0.0406,0.42,0.0025,35.0,22.0
8017.0,0.0159,0.0368,0.36968151147098516,0.003,30.0,18.0
7219.0,0.0206,0.033,0.42,0.003,34.0,25.0
4996.0,0.0156,0.037,0.31,0.0022,32.0,18.0
6107.0,0.0111,0.0255,0.35,0.0034,26.0,17.0
7152.0,0.0237,0.0144,0.39,0.0023,26.904448539089234,15.19673855865334
9104.0,0.0264,0.021,0.46,0.0029,32.0,24.0
6859.0,0.0271,0.0327,0.46,0.0031,42.0,23.0
3778.0,0.0228,0.0266,0.35,0.0031,32.0,18.0
6704.0,0.0184,0.0329,0.42,0.003,31.0,22.0
6022.0,0.0291,0.0314,0.42,0.0029,34.0,21.0
7126.0,0.0295,0.012,0.41,0.002,28.0,15.19673855865334
6487.0,0.0285,0.0328,0.48,0.0028,38.0,25.0
8587.0,0.0295,0.0224,0.35,0.0029,37.0,20.0
11900.0,0.0257,0.0327,0.37,0.0031,35.0,23.0
8168.0,0.0352,0.0224,0.44,0.0026,41.0,26.0
1358.0,0.0254,0.0231,0.35,0.0026,36.0,25.0
1300.0,0.0306,0.0454,0.55,0.0037,48.0,27.0
2256.0,0.0315,0.0427,0.49,0.0036,44.0,28.0
3353.0,0.0303,0.049,0.51,0.0039,52.0,30.0
3544.0,0.0311,0.0461,0.43,0.0032,48.0,26.0
3568.0,0.0295,0.0436,0.31,0.0032,47.0,29.0
4001.0,0.0314,0.0446,0.53,0.004,51.0,28.0
4844.0,0.0305,0.0442,0.48,0.0031,47.0,31.0
2909.0,0.0334,0.0371,0.54,0.0031,65.0,28.0
3058.0,0.0213,0.0496,0.51,0.003,48.0,27.0
5439.0,0.0211,0.0482,0.36968151147098516,0.0035,44.0,26.0
4867.0,0.0273,0.045,0.51,0.0036,49.0,30.0
3421.0,0.0269,0.0448,0.44,0.0027,52.0,29.0
4265.0,0.0165,0.0473,0.39,0.0038,49.0,27.0
4954.0,0.0299,0.0491,0.47,0.0041,47.0,33.0
6212.0,0.0243,0.05,0.46,0.0036,48.0,31.0
4719.0,0.0272,0.0521,0.47,0.0037,61.0,32.0
2495.0,0.0237,0.0401,0.37,0.0037,54.0,28.0
4535.0,0.0201,0.0505,0.44,0.0036,42.0,26.0
4028.0,0.03,0.0468,0.45,0.0036,46.0,25.0
4851.0,0.0215,0.0568,0.41,0.0034,43.0,25.0
4684.0,0.0287,0.0516,0.52,0.0038,50.0,28.0
6192.0,0.0399,0.0296,0.42,0.0032,54.0,27.0
7854.0,0.0326,0.0486,0.46,0.0037,46.0,26.0
5641.0,0.0494,0.031,0.5,0.0031,50.0,29.0
1175.0,0.028,0.0379,0.44,0.0031,47.0,29.0
1169.0,0.0248,0.0527,0.55,0.0042,51.0,28.0
1964.0,0.0294,0.0453,0.5,0.0044,48.0,31.0
2904.0,0.0313,0.0481,0.53,0.0042,54.0,32.0
3268.0,0.0301,0.0492,0.45,0.0035,52.0,29.0
3314.0,0.0272,0.0469,0.3,0.0031,49.0,29.0
3503.0,0.0246,0.05,0.51,0.0043,53.0,30.0
4309.0,0.0235,0.0521,0.44,0.0029,50.0,30.0
2595.0,0.0277,0.0473,0.46,0.003,56.0,28.0
2728.0,0.0157,0.055,0.48,0.0027,47.0,26.0
4780.0,0.0209,0.0358,0.36968151147098516,0.0032,49.0,32.0
4518.0,0.0219,0.0484,0.46,0.0031,46.0,28.0
2886.0,0.0224,0.0472,0.44,0.0026,55.0,32.0
3707.0,0.014,0.0513,0.39,0.004,54.0,30.0
4323.0,0.0263,0.0517,0.48,0.0054,51.0,36.0
5775.0,0.0251,0.0498,0.48,0.0038,62.0,43.0
4346.0,0.0269,0.0525,0.49,0.0041,70.0,38.0
2344.0,0.0219,0.0418,0.38,0.0037,66.0,39.0
3975.0,0.0226,0.0439,0.49,0.0033,51.0,34.0
3590.0,0.0338,0.046,0.48,0.0039,54.0,30.0
4340.0,0.0257,0.0539,0.44,0.0034,50.0,31.0
4315.0,0.0322,0.0513,0.56,0.0041,62.0,36.0
5368.0,0.0313,0.0337,0.42,0.0031,59.0,37.0
7050.0,0.0317,0.051,0.46,0.0037,51.0,27.0
4961.0,0.0362,0.043,0.47,0.003,53.0,30.0
1290.0,0.0259,0.0408,0.44,0.0029,49.0,29.0
1221.0,0.022,0.0573,0.51,0.0049,47.0,24.0
2131.0,0.0258,0.0525,0.48,0.0048,43.0,25.0
3388.0,0.0297,0.0524,0.54,0.0047,54.0,29.0
